lon,lat,HeatFlow,method,error,distancia,error_dist,ix_Grilla
-69.87,-35.17,85.0,4.0,22.0,352.74101548541955,0.0103074314002745,"[16130, 16131, 16210, 16211]"
-69.97,-35.17,85.0,4.0,22.0,343.6508603033798,0.0102007288466485,"[16129, 16130, 16209, 16210]"
-69.67,-29.32,76.0,4.0,22.0,269.43761014679467,0.0223758720911997,"[11412, 11413, 11492, 11493]"
-71.13,-37.58,80.0,4.0,22.0,301.48333118614374,0.0140127137623826,"[21238, 21239, 21318, 21319]"
-69.93,-32.68,70.0,4.0,22.0,273.3741855751793,0.0093374890943501,"[14130, 14131, 14210, 14211]"
-70.05,-34.75,104.0,4.0,22.0,319.754682960266,0.0,"[15729, 15730, 15809, 15810, 15889, 15890]"
-71.083,-37.52,95.0,4.0,22.0,305.6260565584841,0.0260706502798869,"[21158, 21159, 21238, 21239]"
-71.6,-16.5,41.0,3.0,5.0,,,[]
-70.517,-16.85,42.0,3.0,5.0,,,[]
-62.617,-39.65,77.0,4.0,5.0,1063.6037011837868,0.0,[]
-62.7,-39.5,69.0,4.0,5.0,1058.0446910322328,0.0374624001435575,[]
-62.3,-38.32,55.0,3.0,11.0,1084.854084004901,0.0212244283273387,[]
-63.25,-38.683,77.0,3.0,11.0,1006.6790015939348,0.0224219933144211,[]
-78.878,-11.187,59.1,1.0,8.460236886632826,,,[]
-78.682,-11.115,35.9,1.0,19.49860724233984,,,[]
-78.677,-11.113,41.1,1.0,17.0316301703163,,,[]
-78.669,-11.109,34.7,1.0,17.291066282420747,,,[]
-78.957,-11.583,48.4,1.0,20.66115702479339,,,[]
-78.95,-11.577,45.1,1.0,19.955654101995567,,,[]
-78.943,-11.571,42.3,1.0,23.64066193853428,,,[]
-78.936,-11.566,47.1,1.0,21.23142250530785,,,[]
-78.929,-11.56,51.7,1.0,19.342359767891683,,,[]
-78.922,-11.571,52.0,1.0,21.15384615384616,,,[]
-78.907,-11.542,55.4,1.0,19.85559566787004,,,[]
-73.607,-37.663,63.0,3.0,30.0,83.02087139633588,0.0064044688740826,"[21293, 21294, 21373, 21374]"
-73.5,-37.431,79.0,3.0,25.0,92.68934824884968,0.0386527411596375,"[21054, 21055, 21134, 21135]"
-74.45,-41.0,38.3,2.0,17.5,67.08480419856504,0.3792417657669923,"[23924, 23925, 24004, 24005]"
-73.682,-36.219,34.9,2.0,17.5,50.934005040250966,0.2479131119580088,"[16892, 16893, 20172, 20173]"
-73.566,-36.16,35.7,2.0,17.5,61.41438116162826,0.010013518030545,"[16893, 16894, 20173, 20174]"
-70.8,-21.979,38.5,1.0,16.8,46.41055070875626,0.2303793356783665,"[3961, 3962, 4041, 4042]"
-70.718,-22.19,64.9,1.0,16.8,54.79005560733173,0.3138006235935188,"[4122, 4123, 4202, 4203]"
-70.989,-23.973,48.400000000000006,1.0,16.8,36.6852395463285,0.2332675848918072,"[7159, 7160, 7239, 7240]"
-71.053,-23.42,27.5,1.0,16.8,30.297327781113264,0.6118332787070053,"[5078, 5079, 6758, 6759]"
-63.418,-18.88,40.0,3.0,17.0,908.2678392315004,0.0082835048759123,[]
-64.348,-22.682,39.0,3.0,17.0,708.2134725445618,0.0104083705706834,[]
-63.488,-21.123,38.0,3.0,17.0,804.8769479592899,0.0098181035340606,[]
-63.563,-20.008,21.0,3.0,17.0,813.3249253099816,0.0150308711260463,[]
-63.547,-17.53,36.0,3.0,17.0,1070.9876060551103,0.0057458502631609,[]
-64.26,-17.06,42.0,3.0,17.0,1061.900680132687,0.0026282647489696,[]
-63.27,-17.52,43.0,3.0,17.0,1100.344267146319,0.0087540889658357,[]
-63.22,-19.3,40.0,3.0,17.0,884.3365220981099,0.0173066240564828,[]
-63.58,-20.27,38.0,3.0,17.0,810.5094386975876,0.0060733434042846,[]
