lat,lon,depth,ix_Grilla
-26.55,-70.75,-31.0305,9242
-26.65,-70.85,-27.6699,9321
-26.65,-70.75,-31.5566,9322
-26.75,-70.85,-28.1898,9401
-26.85,-70.95,-25.1562,9480
-26.85,-70.85,-28.7484,9481
-26.95,-70.95,-25.7028,9560
-26.95,-70.85,-29.3426,9561
-27.05,-70.95,-26.2836,9640
-27.05,-70.85,-29.9718,9641
-27.15,-70.95,-26.899,9720
-27.15,-70.85,-30.6368,9721
-27.25,-70.95,-27.5508,9800
-27.35,-71.05,-24.779,9879
-27.35,-70.95,-28.2421,9880
-27.45,-71.05,-25.4518,9959
-27.45,-70.95,-28.9773,9960
-27.55,-71.05,-26.1715,10039
-27.55,-70.95,-29.7622,10040
-27.65,-71.05,-26.9447,10119
-27.65,-70.95,-30.6031,10120
-27.75,-71.05,-27.7786,10199
-27.85,-71.15,-25.237,10278
-27.85,-71.05,-28.6798,10279
-27.95,-71.15,-26.1281,10358
-27.95,-71.05,-29.6539,10359
-28.05,-71.15,-27.0925,10438
-28.05,-71.05,-30.7046,10439
-28.15,-71.15,-28.1319,10518
-28.25,-71.25,-25.7921,10597
-28.25,-71.15,-29.2455,10598
-28.35,-71.25,-26.8728,10677
-28.35,-71.15,-30.4293,10678
-28.45,-71.25,-28.0143,10757
-28.55,-71.35,-25.767,10836
-28.55,-71.25,-29.2071,10837
-28.65,-71.35,-26.8811,10916
-28.65,-71.25,-30.438,10917
-28.75,-71.35,-28.017,10996
-28.75,-71.25,-31.691,10997
-28.85,-71.35,-29.1577,11076
-28.95,-71.45,-26.6989,11155
-28.95,-71.35,-30.2852,11156
-29.05,-71.45,-27.6798,11235
-29.05,-71.35,-31.3821,11236
-29.15,-71.45,-28.621,11315
-29.15,-71.35,-32.4325,11316
-29.25,-71.55,-25.9307,11394
-29.25,-71.45,-29.5119,11395
-29.35,-71.55,-26.6695,11474
-29.35,-71.45,-30.3464,11475
-29.45,-71.55,-27.3593,11554
-29.45,-71.45,-31.1226,11555
-29.55,-71.55,-28.0023,11634
-29.65,-71.65,-25.0493,11713
-29.65,-71.55,-28.6031,11714
-29.75,-71.65,-25.5497,11793
-29.75,-71.55,-29.1682,11794
-29.85,-71.65,-26.0253,11873
-29.85,-71.55,-29.7039,11874
-29.95,-71.65,-26.4804,11953
-29.95,-71.55,-30.2159,11954
-30.05,-71.65,-26.9179,12033
-30.05,-71.55,-30.708,12034
-30.15,-71.55,-31.1818,12114
-30.25,-71.55,-31.6371,12194
-30.35,-71.55,-32.0719,12274
-30.45,-71.55,-32.4838,12354
-30.55,-71.55,-32.8706,12434
-30.65,-71.55,-33.2309,12514
-30.65,-71.45,-37.6347,12515
-30.75,-71.55,-33.5647,12594
-30.75,-71.45,-38.0024,12595
-30.85,-71.55,-33.8732,12674
-30.85,-71.45,-38.3393,12675
-30.95,-71.55,-34.1582,12754
-30.95,-71.45,-38.6465,12755
-31.05,-71.55,-34.4219,12834
-31.05,-71.45,-38.9253,12835
-31.15,-71.55,-34.666,12914
-31.15,-71.45,-39.1765,12915
-31.25,-71.55,-34.891,12994
-31.25,-71.45,-39.4005,12995
-31.35,-71.55,-35.0969,13074
-31.35,-71.45,-39.5963,13075
-31.45,-71.55,-35.2825,13154
-31.45,-71.45,-39.7627,13155
-31.55,-71.55,-35.4463,13234
-31.55,-71.45,-39.8987,13235
-31.65,-71.45,-40.0035,13315
-31.75,-71.55,-35.7035,13394
-31.75,-71.45,-40.0782,13395
-31.85,-71.55,-35.797,13474
-31.85,-71.45,-40.1251,13475
-31.95,-71.55,-35.8692,13554
-31.95,-71.45,-40.1485,13555
-32.05,-71.55,-35.9236,13634
-32.05,-71.45,-40.1539,13635
-32.15,-71.55,-35.9645,13714
-32.15,-71.45,-40.1479,13715
-32.25,-71.55,-35.9971,13794
-32.25,-71.45,-40.1373,13795
-32.35,-71.55,-36.0266,13874
-32.35,-71.45,-40.1284,13875
-32.45,-71.55,-36.0583,13954
-32.55,-71.65,-32.2901,14033
-32.55,-71.55,-36.0972,14034
-32.65,-71.65,-32.3597,14113
-32.65,-71.55,-36.1485,14114
-32.75,-71.65,-32.4439,14193
-32.75,-71.55,-36.2186,14194
-32.85,-71.65,-32.5507,14273
-32.85,-71.55,-36.3152,14274
-32.95,-71.65,-32.6907,14353
-33.05,-71.75,-29.3734,14432
-33.05,-71.65,-32.8768,14433
-33.15,-71.75,-29.6196,14512
-33.15,-71.65,-33.1248,14513
-33.25,-71.75,-29.9402,14592
-33.25,-71.65,-33.4514,14593
-33.35,-71.85,-27.0919,14671
-33.35,-71.75,-30.3512,14672
-33.45,-71.85,-27.5891,14751
-33.45,-71.75,-30.8673,14752
-33.55,-71.85,-28.1953,14831
-33.55,-71.75,-31.4996,14832
-33.65,-71.85,-28.9169,14911
-33.65,-71.75,-32.2547,14912
-33.75,-71.95,-26.6361,14990
-33.75,-71.85,-29.7562,14991
-33.85,-71.95,-27.5404,15070
-33.85,-71.85,-30.7111,15071
-33.95,-71.95,-28.5495,15150
-33.95,-71.85,-31.7768,15151
-34.05,-71.95,-29.6579,15230
-34.05,-71.85,-32.9468,15231
-34.15,-72.05,-27.7548,15309
-34.15,-71.95,-30.8601,15310
-34.25,-72.05,-28.9748,15389
-34.25,-71.95,-32.1512,15390
-34.35,-72.05,-30.2778,15469
-34.35,-71.95,-33.5278,15470
-34.45,-72.05,-31.6628,15549
-34.55,-72.15,-29.9672,15628
-34.55,-72.05,-33.1296,15629
-34.65,-72.15,-31.4356,15708
-34.65,-72.05,-34.6787,15709
-34.75,-72.25,-29.8971,15787
-34.75,-72.15,-32.9867,15788
-34.85,-72.25,-31.448,15867
-34.85,-72.15,-34.621,15868
-34.95,-72.35,-30.0566,15946
-34.95,-72.25,-33.0831,15947
-35.05,-72.35,-31.6918,16026
-35.05,-72.25,-34.7998,16027
-35.15,-72.45,-30.4414,16105
-35.15,-72.35,-33.4075,16106
-35.25,-72.45,-32.1519,16185
-35.35,-72.55,-31.0183,16264
-35.35,-72.45,-33.9258,16265
-35.45,-72.65,-29.982,16343
-35.45,-72.55,-32.7657,16344
-35.55,-72.65,-31.6843,16423
-35.55,-72.55,-34.542,16424
-35.65,-72.75,-30.6441,16502
-35.65,-72.65,-33.3951,16503
-35.75,-72.75,-32.2657,16582
-35.75,-72.65,-35.0884,16583
-35.85,-72.85,-31.115,16661
-35.85,-72.75,-33.8486,16662
-35.95,-72.85,-32.5674,16741
-35.95,-72.75,-35.3696,16742
-36.05,-72.95,-31.2171,16820
-36.05,-72.85,-33.9419,16821
-36.15,-72.95,-32.4345,16900
-36.15,-72.85,-35.2221,16901
-36.25,-72.95,-33.5499,20180
-36.25,-72.85,-36.3963,20181
-36.35,-72.95,-34.5554,20260
-36.35,-72.85,-37.4573,20261
-36.45,-72.95,-35.4483,20340
-36.55,-73.05,-33.3792,20419
-36.55,-72.95,-36.2313,20420
-36.65,-73.05,-34.0216,20499
-36.65,-72.95,-36.9127,20500
-36.75,-73.05,-34.5787,20579
-36.75,-72.95,-37.5058,20580
-36.85,-73.15,-32.2897,20658
-36.85,-73.05,-35.0676,20659
-36.95,-73.15,-32.7106,20738
-36.95,-73.05,-35.5077,20739
-37.05,-73.25,-30.4837,20817
-37.05,-73.15,-33.1036,20818
-37.15,-73.25,-30.8561,20897
-37.25,-73.35,-28.7797,20976
-37.25,-73.25,-31.2301,20977
-37.35,-73.35,-29.1517,21056
-37.35,-73.25,-31.6164,21057
-37.45,-73.35,-29.5373,21136
-37.45,-73.25,-32.023,21137
-37.55,-73.35,-29.9424,21216
-37.65,-73.35,-30.3714,21296
-37.75,-73.45,-28.4278,21375
-37.75,-73.35,-30.8285,21376
-37.85,-73.45,-28.8755,21455
-37.85,-73.35,-31.3173,21456
-37.95,-73.45,-29.3546,21535
-37.95,-73.35,-31.8412,21536
-38.05,-73.45,-29.8678,21615
-38.05,-73.35,-32.4031,21616
-38.15,-73.45,-30.4166,21695
-38.25,-73.45,-31.0003,21775
-38.35,-73.45,-31.6172,21855
-38.45,-73.45,-32.2648,21935
-38.45,-73.35,-35.0432,21936
-38.55,-73.45,-32.9406,22015
-38.55,-73.35,-35.7973,22016
-38.65,-73.45,-33.6428,22095
-38.65,-73.35,-36.5867,22096
-38.75,-73.45,-34.3703,22175
-38.75,-73.35,-37.4105,22176
-38.85,-73.45,-35.1221,22255
-38.85,-73.35,-38.2667,22256
-38.95,-73.45,-35.8956,22335
-38.95,-73.35,-39.1513,22336
-39.05,-73.45,-36.6856,22415
-39.15,-73.45,-37.4824,22495
-39.25,-73.45,-38.2718,22575
-39.35,-73.45,-39.0353,22655
-39.35,-73.35,-42.7422,22656
-39.45,-73.45,-39.7522,22735
-39.45,-73.35,-43.5553,22736
-39.55,-73.45,-40.4021,22815
-39.55,-73.35,-44.2882,22816
-39.65,-73.35,-44.9221,22896
-39.75,-73.45,-41.4396,22975
-39.75,-73.35,-45.4455,22976
-39.85,-73.45,-41.8137,23055
-39.85,-73.35,-45.8557,23056
-39.95,-73.45,-42.0959,23135
-40.05,-73.55,-38.4322,23214
-40.05,-73.45,-42.2995,23215
-40.15,-73.55,-38.5799,23294
-40.15,-73.45,-42.4432,23295
-40.25,-73.55,-38.6974,23374
-40.25,-73.45,-42.5494,23375
-40.35,-73.55,-38.8053,23454
-40.45,-73.55,-38.9233,23534
-40.55,-73.55,-39.0682,23614
-40.65,-73.55,-39.2526,23694
-40.75,-73.55,-39.4852,23774
-40.85,-73.65,-36.2219,23853
-40.85,-73.55,-39.7704,23854
-40.95,-73.65,-36.5644,23933
-40.95,-73.55,-40.1091,23934
-41.05,-73.65,-36.9544,24013
-41.15,-73.75,-34.0232,24092
-41.15,-73.65,-37.3888,24093
-41.25,-73.75,-34.4819,24172
-41.25,-73.65,-37.8645,24173
-41.35,-73.75,-34.9744,24252
-41.45,-73.75,-35.4994,24332
-41.55,-73.85,-32.775,24411
-41.55,-73.75,-36.0566,24412
-41.65,-73.85,-33.323,24491
-41.65,-73.75,-36.6467,24492
-41.75,-73.85,-33.899,24571
-41.75,-73.75,-37.2702,24572
-41.85,-73.85,-34.503,24651
-41.95,-73.95,-31.8486,24730
-41.95,-73.85,-35.1338,24731
-42.05,-73.95,-32.4403,24810
-42.15,-74.05,-29.8488,24889
-42.15,-73.95,-33.0479,24890
-42.25,-74.05,-30.3965,24969
-42.25,-73.95,-33.6654,24970
-42.35,-74.05,-30.9454,25049
-42.45,-74.05,-31.488,25129
-42.45,-73.95,-34.8975,25130
-42.55,-74.05,-32.0162,25209
-42.55,-73.95,-35.4935,25210
-42.65,-74.05,-32.5219,25289
-42.65,-73.95,-36.0628,25290
-42.75,-74.05,-32.9971,25369
-42.75,-73.95,-36.5961,25370
-42.85,-74.05,-33.4342,25449
-42.85,-73.95,-37.0846,25450
-42.95,-74.05,-33.8263,25529
-42.95,-73.95,-37.5203,25530
-43.05,-74.05,-34.1668,25609
-43.05,-73.95,-37.8965,25610
-43.15,-74.05,-34.4505,25689
-43.15,-73.95,-38.2078,25690
-43.25,-73.95,-38.4511,25770
-43.35,-74.05,-34.8348,25849
-43.35,-73.95,-38.6268,25850
-43.45,-74.05,-34.9374,25929
-43.45,-73.95,-38.7396,25930
-43.55,-74.05,-34.9897,26009
-43.55,-73.95,-38.8002,26010
-43.65,-74.05,-35.0055,26089
-43.75,-74.15,-31.4282,26168
-43.75,-74.05,-35.0044,26169
-43.85,-74.15,-31.4275,26248
-43.85,-74.05,-35.0099,26249
-43.95,-74.05,-35.0481,26329
-44.05,-74.05,-35.1449,26409
-44.05,-73.95,-39.0531,26410
-44.15,-74.05,-35.3243,26489
-44.15,-73.95,-39.2743,26490
-44.25,-74.05,-35.607,26569
-44.25,-73.95,-39.6061,26570
-44.35,-74.05,-36.0098,26649
-44.35,-73.95,-40.0634,26650
-44.45,-74.05,-36.5458,26729
-44.45,-73.95,-40.6568,26730
-44.55,-74.05,-37.2255,26809
-44.65,-74.05,-38.0573,26889
